,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
ID,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1213,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1336,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1359,1360,1361,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1400,1401,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1421,1422,1423,1424,1425,1426,1427,1428,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2030,2031,2032,2033,2034,2035,2038
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19 00:00,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,24787.439,26728.75,20638.869,29290.98,27780.641,23913.93,25303.461,8783.191,23233.289,29576.131,1109.116,1274.548,3259.555,2437.137,3528.129,4506.812,2754.626,21.219,551.833,962.415,3985.931,3821.562,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,751.368,0.0,0.0,79.625,0.0,90.836,90.672,89.874,91.22,90.055,0.0,141.496,0.0,0.0,13.058,0.0,8.669,13.159,9.314,0.0,0.0,6.49,12.998,13.076,611.142,701.276,553.867,643.412,619.137,519.604,629.356,614.041,166.236,190.65,436.944,549.582,230.397,255.998,276.896,172.198,192.896,190.402,611.142,701.276,553.867,643.412,7.15,0.0,5.0,2.0,13.0,0.0,0.0,0.0,2.02,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.327,0.243,0.0,0.5,0.0,0.0,0.0,0.0,34.885,2.016,2.97,51.266,64.28,2.218,139.667,-12.131,178.0,-12.007,101.307,-12.582,8689.971,151.022,-12.74,6150.693,36.916,0.0,28.762,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,69.0,68.0,67.0,67.0,80.0,46.0,48.0,47.0,83.0,82.0,79.017,79.0,78.0,79.0,81.167,82.0,64.0,81.683,81.0,64.5,82.0,205.95,204.317,203.95,208.217,203.167,247.183,246.767,246.333,218.967,214.633,216.417,213.917,279.55,244.567,245.817,294.0,294.0,308.033,307.517,307.083,361.533,354.0,363.1,363.05,362.817,437.167,436.733,437.733,32767.0,433.6,434.917,434.7,432.017,434.15,433.933,333.367,327.367,327.367,326.75,326.367,-9.352,-10.747,-11.08,0.0,-9.286,-8.964,0.0,-8.334,-9.745,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.501,6358.376,7362.942,3179.885,329.117,22.138,990.917,990.85,859.4,249.55,12910.69,2448.938,-54.363,502.488,750.0,5.121,0.0,36207.648,502.488,3452.47,245.638,445.19,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,13946.1,84.921,43.354,51.766,1.661,0.0,0.0,0.0,990.883,1.159,0.104,0.0,750.819,4931.0,0.0,1.42,0.0,0.0,750.0,1.42,0.0,84.921,32.494,307.967,2.999,2.216,3.857,1.394,0.0,0.0,6.007,5.998,0.0,3452.47,3527.905,4506.472,30.0,30.0,15.0,7.15,7.15,7.15,44.8,57.6,44.8,49.6,44.8,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.267,2.222,26.784,8.533,0.0,547.832,0.0,8.313,8.085,965.1,948.0,296.2,304.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10033.6,10306.2,64.776,55.97,0.15,0.083,0.178,19.69,16.166,200.31,47.101
2023-06-19 00:01,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.378,0.0,0.0,79.788,0.0,90.184,90.378,90.516,89.934,89.994,0.0,142.658,0.0,0.0,12.905,0.0,8.752,13.128,9.412,0.0,0.0,6.825,13.248,13.136,611.561,700.646,553.683,641.953,617.48,518.424,627.907,612.086,166.267,190.666,436.892,549.317,230.256,255.869,,172.088,192.783,190.191,,,,,,,,,,,,,2.02,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.261,0.126,0.0,0.5,0.0,0.0,0.0,0.0,35.284,2.011,2.97,50.359,64.731,2.218,140.817,-12.076,178.0,-11.98,101.493,-12.535,8574.278,151.133,-12.733,6139.397,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.0,67.0,66.65,80.0,46.0,48.0,47.0,83.0,82.0,79.017,79.0,78.0,78.583,82.317,82.0,64.0,81.0,81.0,64.15,82.0,209.467,207.767,207.533,211.867,206.617,248.933,248.567,248.333,222.7,218.467,222.75,217.6,282.3,253.417,248.45,294.967,294.317,311.7,311.383,310.9,360.483,354.417,365.917,365.617,365.433,443.633,443.2,445.6,32767.0,439.967,439.9,439.533,438.733,440.65,440.45,330.05,323.95,323.767,323.583,323.05,-9.435,-10.685,-11.056,0.0,-9.268,-8.923,0.0,-8.264,-9.718,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,65.836,5940.781,7316.637,3181.012,184.495,13.679,1031.95,1031.85,879.267,253.317,12947.76,2460.162,-53.333,500.797,750.0,,0.0,36215.801,,,245.699,452.389,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,13981.74,,,,,,0.0,0.0,1031.9,1.234,0.058,0.0,750.247,,0.0,1.42,0.0,0.0,750.0,,,,,311.7,3.014,2.259,3.847,1.415,0.0,0.0,6.0,5.998,0.0,3460.443,3528.059,4506.705,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.8,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.289,2.222,26.813,8.551,0.0,702.307,0.0,7.232,8.017,965.117,948.05,293.783,303.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10066.2,10360.58,64.724,55.999,0.1,0.083,0.178,19.69,16.194,200.553,47.055
2023-06-19 00:02,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.988,0.0,0.0,79.589,0.0,90.56,90.491,89.303,90.489,90.875,0.0,142.261,0.0,0.0,13.014,0.0,8.666,13.048,8.764,0.0,0.0,6.763,13.02,13.096,610.848,698.543,554.285,640.451,616.218,518.154,626.758,610.45,166.401,190.65,436.868,549.13,230.184,255.577,,172.007,192.673,190.121,,,,,,,,,,,,,2.022,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.214,2.756,0.0,0.5,0.0,0.0,0.0,0.0,35.463,2.02,2.97,49.416,64.784,2.218,141.883,-12.124,178.383,-11.977,101.757,-12.566,8630.14,151.222,-12.731,6116.2,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.0,67.0,66.5,80.0,46.0,47.967,47.0,83.0,82.0,79.95,79.083,78.0,78.333,83.033,82.0,64.0,81.0,81.0,64.0,81.167,208.717,207.917,207.317,211.917,206.717,250.483,249.967,249.583,225.85,221.85,227.183,220.95,285.35,259.883,251.067,295.733,295.283,315.083,314.483,314.183,360.0,355.817,368.733,368.067,367.9,446.467,446.033,448.533,32767.0,442.8,442.467,442.133,441.783,443.617,443.283,325.533,319.283,319.283,318.767,318.45,-9.642,-10.668,-11.047,0.0,-9.28,-8.946,0.0,-8.248,-9.677,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.784,5342.585,7341.007,3177.497,232.319,9.259,1077.3,1077.133,874.417,256.767,12813.83,2451.685,-54.362,511.386,750.0,,0.0,36224.289,,,245.761,455.714,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,13847.04,,,,,,0.0,0.0,1077.217,1.376,0.073,0.0,750.076,,0.0,1.42,0.0,0.0,750.0,,,,,315.1,3.003,2.248,3.872,1.412,0.0,0.0,6.029,5.998,0.0,3436.798,3528.214,4506.938,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.667,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.284,2.222,27.004,8.532,0.0,535.697,0.0,8.009,8.262,965.3,948.05,293.55,300.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10144.42,10429.0,64.725,55.929,0.0,0.1,0.178,19.69,16.213,200.376,47.145
2023-06-19 00:03,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.825,0.0,0.0,80.205,0.0,89.737,90.292,90.556,89.897,90.308,0.0,141.694,0.0,0.0,12.896,0.0,8.734,12.914,9.276,0.0,0.0,6.919,13.126,13.094,611.204,697.575,554.036,639.742,614.283,515.791,625.499,609.537,166.419,190.382,436.712,548.907,230.131,255.254,,171.808,192.552,190.032,,,,,,,,,,,,,2.05,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.309,1.518,0.0,0.5,0.0,0.0,0.0,0.0,35.894,2.043,3.012,48.216,65.424,2.251,142.833,-12.062,179.0,-11.941,102.002,-12.504,8671.857,151.363,-12.681,6135.531,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.0,67.0,66.567,80.933,45.167,47.0,47.0,83.067,82.0,80.0,80.0,78.0,79.0,84.0,81.367,64.0,81.0,80.317,64.45,81.0,207.433,206.283,205.717,210.283,205.133,251.133,250.867,250.75,225.3,223.9,230.417,223.167,287.633,262.867,252.733,296.8,296.433,317.8,317.583,316.967,360.733,357.433,370.45,369.967,369.683,448.4,447.767,448.533,32767.0,444.633,444.433,443.95,443.583,445.417,445.15,325.617,319.217,319.217,319.117,318.617,-9.557,-10.683,-10.999,0.0,-9.239,-8.911,0.0,-8.176,-9.573,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.426,5021.653,7353.094,3175.225,286.286,14.232,1092.5,1091.85,874.783,256.767,12735.92,2454.271,-54.922,489.68,750.0,,0.0,36232.32,,,245.82,457.714,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,13767.7,,,,,,0.0,0.0,1092.175,1.465,0.09,0.0,751.912,,0.0,1.42,0.0,0.0,750.0,,,,,317.8,3.009,2.248,3.868,1.382,0.0,0.0,5.997,6.001,0.0,3419.782,3528.367,4507.166,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.053,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.254,2.254,26.837,8.528,0.0,656.215,0.0,7.754,8.123,965.383,948.05,293.983,300.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10101.12,10439.52,64.701,55.753,0.167,0.083,0.178,19.69,16.252,200.575,47.719
2023-06-19 00:04,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.467,0.0,0.0,80.136,0.0,90.612,90.651,89.514,89.969,90.231,0.0,141.255,0.0,0.0,12.948,0.0,8.782,13.492,9.68,0.0,0.0,6.531,13.044,13.111,611.554,696.412,553.821,638.008,612.913,514.591,623.766,607.769,166.45,190.611,436.748,548.597,229.893,254.929,,171.558,192.268,189.574,,,,,,,,,,,,,2.05,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.305,0.611,0.0,0.5,0.0,0.0,0.0,0.0,35.999,2.044,3.015,47.184,65.496,2.251,143.0,-12.02,179.167,-11.884,102.222,-12.466,8682.849,151.48,-12.649,6160.157,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.0,67.083,66.917,80.583,45.0,47.0,47.0,83.817,81.917,80.0,79.917,78.0,79.0,84.0,81.0,64.0,81.0,80.0,64.467,81.0,204.817,203.517,203.283,207.55,202.367,250.0,250.0,249.033,224.25,225.0,231.417,224.0,289.1,263.283,253.0,298.367,297.883,320.5,319.867,319.717,362.033,359.0,371.4,371.083,370.833,452.483,452.167,451.933,32767.0,449.067,448.667,448.25,447.75,449.667,449.233,326.4,320.083,320.083,319.75,319.4,-9.497,-10.69,-10.972,0.0,-9.206,-8.865,0.0,-8.134,-9.541,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63.472,5345.245,7369.057,3174.871,326.29,28.726,1071.8,1071.5,848.117,256.0,12725.87,2452.726,-56.079,531.117,750.0,,0.0,36240.551,,,245.88,462.083,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,13761.6,,,,,,0.0,0.0,1071.65,1.383,0.103,0.0,749.062,,0.0,1.42,0.0,0.0,750.0,,,,,320.517,3.017,2.225,3.874,1.404,0.0,0.0,5.991,5.998,0.0,3416.407,3528.519,4507.394,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.0,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.266,2.255,26.826,8.48,0.0,600.772,0.0,9.203,8.212,965.283,948.0,294.35,301.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10093.47,10451.23,64.829,55.763,0.083,0.0,0.178,19.69,16.258,200.443,47.719
2023-06-19 00:05,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.06,0.0,0.0,79.924,0.0,90.104,90.47,90.614,90.238,90.009,0.0,141.782,0.0,0.0,13.028,0.0,8.734,13.998,9.475,0.0,0.0,6.955,13.028,13.095,611.336,694.371,553.6,636.635,611.308,514.006,622.244,606.607,166.428,191.108,436.91,548.269,229.66,254.743,,171.634,191.9,189.008,,,,,,,,,,,,,2.05,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.307,0.008,0.0,0.5,0.0,0.0,0.0,0.0,36.12,2.046,3.018,46.531,64.888,2.251,143.583,-11.982,180.233,-11.859,102.448,-12.413,8760.281,151.62,-12.618,6185.085,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.433,68.0,67.0,80.633,45.0,47.0,47.0,83.0,81.95,80.0,79.783,78.0,78.767,84.0,81.0,64.267,80.833,80.0,65.0,81.0,204.467,204.4,203.783,208.533,203.1,249.567,249.317,248.767,223.35,225.0,231.167,224.0,290.0,262.117,253.0,299.7,299.433,320.683,320.633,320.0,364.167,360.533,372.6,372.467,371.65,457.65,457.217,456.917,32767.0,454.15,453.75,453.267,453.033,455.033,454.233,329.15,322.783,322.95,322.283,322.15,-9.507,-10.629,-10.946,0.0,-9.177,-8.832,0.0,-8.036,-9.455,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.523,7145.361,7297.705,3183.79,490.582,41.295,1056.433,1056.517,837.8,258.033,13046.94,2470.479,-57.029,529.954,750.0,,0.0,36250.301,,,245.941,467.434,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,14086.97,,,,,,0.0,0.0,1056.475,1.024,0.154,0.0,752.42,,0.0,1.42,0.0,0.0,750.0,,,,,320.667,3.038,2.253,3.841,1.403,0.0,0.0,6.016,5.997,0.0,3472.996,3528.67,4507.64,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.0,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.262,2.255,27.017,8.51,0.0,589.841,0.0,6.63,8.147,965.583,948.117,295.917,301.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.6,10443.28,64.872,55.976,0.05,0.0,0.178,19.69,16.271,200.068,47.733
2023-06-19 00:06,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.6,0.0,0.0,79.919,0.0,90.736,90.333,89.941,90.29,89.597,0.0,141.86,0.0,0.0,12.999,0.0,8.787,13.603,8.622,0.0,0.0,6.655,13.198,13.091,611.149,694.008,553.932,634.919,609.931,512.564,620.566,604.656,165.952,191.703,436.456,547.997,229.536,254.565,,171.413,191.735,188.656,,,,,,,,,,,,,2.05,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.294,3.694,0.0,0.5,0.0,0.0,0.0,0.0,36.326,2.043,3.008,45.16,64.856,2.251,144.0,-11.967,181.183,-11.834,102.643,-12.403,8739.317,151.84,-12.588,6216.118,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.183,68.0,67.0,81.0,45.0,47.0,47.0,83.0,82.467,80.083,80.0,78.0,78.0,82.95,81.0,64.0,80.65,80.0,65.0,81.0,203.767,204.0,203.633,208.183,202.733,247.917,247.717,246.917,221.917,224.183,230.917,223.633,290.667,258.033,253.0,301.183,300.667,321.233,321.0,320.417,366.283,361.083,371.817,371.417,371.033,460.617,460.017,459.817,32767.0,456.85,456.683,456.317,455.783,457.783,457.533,332.333,325.867,325.95,325.633,325.167,-9.426,-10.603,-10.935,0.0,-9.152,-8.841,0.0,-8.011,-9.388,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.843,7372.35,7337.937,3188.093,218.535,30.342,1056.333,1056.5,855.117,262.317,13205.15,2454.124,-55.85,528.978,750.0,,0.0,36259.32,,,245.999,470.906,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,14243.15,,,,,,0.0,0.0,1056.417,0.995,0.069,0.0,751.233,,0.0,1.42,0.0,0.0,750.0,,,,,321.217,3.022,2.248,3.838,1.409,0.0,0.0,6.025,5.999,0.0,3498.855,3528.823,4507.878,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.627,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.223,2.255,27.021,8.523,0.0,713.589,0.0,6.746,8.078,964.933,948.2,294.967,303.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10067.13,10372.55,64.878,56.061,0.083,0.133,0.178,19.69,16.279,200.421,47.772
2023-06-19 00:07,13.3,20.0,0.0,2.3,3.5,1.3,1.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.945,0.0,0.0,80.268,0.0,90.334,90.296,90.275,90.027,90.155,0.0,141.029,0.0,0.0,12.98,0.0,8.695,13.377,9.288,0.0,0.0,6.636,13.159,13.129,611.509,692.679,553.787,633.518,608.212,511.183,618.94,602.912,165.906,192.14,436.6,547.852,229.376,254.495,,171.291,191.593,188.49,,,,,,,,,,,,,2.05,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,7.33,1.86,0.0,0.5,0.0,0.0,0.0,0.0,36.63,2.042,3.018,44.453,65.663,2.251,144.033,-11.966,182.0,-11.834,102.833,-12.429,8737.488,152.057,-12.599,6233.009,,,,,0.0,0.0,0.0,0.0,536.0,0.0,,,,0.0,69.0,68.0,67.267,67.0,81.0,45.0,47.0,47.0,83.0,82.317,80.067,80.0,78.0,78.0,81.517,81.0,64.0,81.0,80.0,64.7,81.0,203.75,204.8,204.333,208.95,203.433,247.4,246.867,246.7,220.383,223.133,229.583,222.283,291.0,252.1,252.267,302.283,301.883,320.817,320.6,320.067,368.117,361.95,370.9,370.433,370.0,462.033,461.633,461.367,32767.0,458.5,458.067,457.633,457.35,459.517,459.017,335.933,329.767,329.767,329.517,329.033,-9.339,-10.62,-10.92,0.0,-9.178,-8.862,0.0,-7.964,-9.366,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,65.014,7382.889,7348.072,3192.682,224.238,13.781,1058.7,1058.483,831.75,264.967,13367.24,2451.179,-55.259,490.873,750.0,,0.0,36267.922,,,246.06,472.297,-3276.798,22.5,22.0,0.0,0.0,0.0,0.0,0.0,14404.87,,,,,,0.0,0.0,1058.592,0.995,0.07,0.0,748.843,,0.0,1.42,0.0,0.0,750.0,,,,,320.867,3.015,2.241,3.867,1.387,0.0,0.0,5.989,5.992,0.0,3526.375,3528.969,4508.107,30.0,30.0,15.0,,,,44.8,57.6,44.8,49.6,44.707,45.0,35.0,45.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.247,2.255,26.916,8.488,0.0,569.804,0.0,8.082,8.095,965.2,948.05,296.817,306.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10095.0,10302.57,64.83,56.076,0.0,0.117,0.178,19.69,16.287,200.399,47.687
